edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Franca,FRANCA,-47.53617706126488,-20.161732270555287,-47.48605106841101,-20.11160627770142,55.4
Franca,FRANCA,-47.48605106841101,-20.161732270555287,-47.43592507555714,-20.11160627770142,90.9
Franca,FRANCA,-47.636429046972616,-20.21185826340916,-47.586303054118744,-20.161732270555287,59.5
Franca,FRANCA,-47.586303054118744,-20.21185826340916,-47.53617706126488,-20.161732270555287,232.0
Franca,FRANCA,-47.53617706126488,-20.21185826340916,-47.48605106841101,-20.161732270555287,185.9
Franca,FRANCA,-47.48605106841101,-20.21185826340916,-47.43592507555714,-20.161732270555287,534.8
Franca,FRANCA,-47.43592507555714,-20.21185826340916,-47.38579908270327,-20.161732270555287,325.3
Franca,FRANCA,-47.38579908270327,-20.21185826340916,-47.3356730898494,-20.161732270555287,132.2
Franca,FRANCA,-47.3356730898494,-20.21185826340916,-47.28554709699553,-20.161732270555287,46.7
Franca,FRANCA,-47.28554709699553,-20.21185826340916,-47.23542110414166,-20.161732270555287,43.0
Franca,FRANCA,-47.636429046972616,-20.261984256263027,-47.586303054118744,-20.21185826340916,34.5
Franca,FRANCA,-47.586303054118744,-20.261984256263027,-47.53617706126488,-20.21185826340916,412.9
Franca,FRANCA,-47.53617706126488,-20.261984256263027,-47.48605106841101,-20.21185826340916,466.3
Franca,FRANCA,-47.48605106841101,-20.261984256263027,-47.43592507555714,-20.21185826340916,508.5
Franca,FRANCA,-47.43592507555714,-20.261984256263027,-47.38579908270327,-20.21185826340916,698.5
Franca,FRANCA,-47.38579908270327,-20.261984256263027,-47.3356730898494,-20.21185826340916,557.2
Franca,FRANCA,-47.3356730898494,-20.261984256263027,-47.28554709699553,-20.21185826340916,102.0
Franca,FRANCA,-47.636429046972616,-20.3121102491169,-47.586303054118744,-20.261984256263027,97.6
Franca,FRANCA,-47.586303054118744,-20.3121102491169,-47.53617706126488,-20.261984256263027,281.2
Franca,FRANCA,-47.53617706126488,-20.3121102491169,-47.48605106841101,-20.261984256263027,525.9
Franca,FRANCA,-47.48605106841101,-20.3121102491169,-47.43592507555714,-20.261984256263027,655.6
Franca,FRANCA,-47.43592507555714,-20.3121102491169,-47.38579908270327,-20.261984256263027,414.5
Franca,FRANCA,-47.38579908270327,-20.3121102491169,-47.3356730898494,-20.261984256263027,292.4
Franca,FRANCA,-47.3356730898494,-20.3121102491169,-47.28554709699553,-20.261984256263027,197.8
Franca,FRANCA,-47.28554709699553,-20.3121102491169,-47.23542110414166,-20.261984256263027,57.7
Franca,FRANCA,-47.636429046972616,-20.362236241970766,-47.586303054118744,-20.3121102491169,81.1
Franca,FRANCA,-47.586303054118744,-20.362236241970766,-47.53617706126488,-20.3121102491169,661.1
Franca,FRANCA,-47.53617706126488,-20.362236241970766,-47.48605106841101,-20.3121102491169,972.4
Franca,FRANCA,-47.48605106841101,-20.362236241970766,-47.43592507555714,-20.3121102491169,506.5
Franca,FRANCA,-47.43592507555714,-20.362236241970766,-47.38579908270327,-20.3121102491169,326.1
Franca,FRANCA,-47.38579908270327,-20.362236241970766,-47.3356730898494,-20.3121102491169,47.8
Franca,FRANCA,-47.3356730898494,-20.362236241970766,-47.28554709699553,-20.3121102491169,44.0
Franca,FRANCA,-47.586303054118744,-20.412362234824634,-47.53617706126488,-20.362236241970766,375.3
Franca,FRANCA,-47.53617706126488,-20.412362234824634,-47.48605106841101,-20.362236241970766,691.5
Franca,FRANCA,-47.48605106841101,-20.412362234824634,-47.43592507555714,-20.362236241970766,871.8
Franca,FRANCA,-47.43592507555714,-20.412362234824634,-47.38579908270327,-20.362236241970766,457.2
Franca,FRANCA,-47.38579908270327,-20.412362234824634,-47.3356730898494,-20.362236241970766,154.6
Franca,FRANCA,-47.636429046972616,-20.462488227678506,-47.586303054118744,-20.412362234824634,225.8
Franca,FRANCA,-47.586303054118744,-20.462488227678506,-47.53617706126488,-20.412362234824634,828.4
Franca,FRANCA,-47.53617706126488,-20.462488227678506,-47.48605106841101,-20.412362234824634,884.7
Franca,FRANCA,-47.48605106841101,-20.462488227678506,-47.43592507555714,-20.412362234824634,925.8
Franca,FRANCA,-47.43592507555714,-20.462488227678506,-47.38579908270327,-20.412362234824634,558.4
Franca,FRANCA,-47.38579908270327,-20.462488227678506,-47.3356730898494,-20.412362234824634,385.3
Franca,FRANCA,-47.636429046972616,-20.512614220532374,-47.586303054118744,-20.462488227678506,303.6
Franca,FRANCA,-47.586303054118744,-20.512614220532374,-47.53617706126488,-20.462488227678506,778.6
Franca,FRANCA,-47.53617706126488,-20.512614220532374,-47.48605106841101,-20.462488227678506,916.3
Franca,FRANCA,-47.48605106841101,-20.512614220532374,-47.43592507555714,-20.462488227678506,605.1
Franca,FRANCA,-47.43592507555714,-20.512614220532374,-47.38579908270327,-20.462488227678506,103.0
Franca,FRANCA,-47.38579908270327,-20.512614220532374,-47.3356730898494,-20.462488227678506,325.8
