edr_chave,ano,janela,ndvi,n_cenas
JABOTICABAL,2017,florada,,0
JABOTICABAL,2017,enchimento,0.6875,1
JABOTICABAL,2018,florada,0.5424,3
JABOTICABAL,2018,enchimento,0.6732,3
JABOTICABAL,2019,florada,0.6745,3
JABOTICABAL,2019,enchimento,0.76,3
JABOTICABAL,2020,florada,0.5985,3
JABOTICABAL,2020,enchimento,0.7532,3
JABOTICABAL,2021,florada,0.395,3
JABOTICABAL,2021,enchimento,0.756,3
JABOTICABAL,2022,florada,0.4021,3
JABOTICABAL,2022,enchimento,0.5702,3
JABOTICABAL,2023,florada,0.4791,3
JABOTICABAL,2023,enchimento,0.6169,3
JABOTICABAL,2024,florada,0.5853,3
JABOTICABAL,2024,enchimento,0.6429,3
JABOTICABAL,2025,florada,0.3714,3
JABOTICABAL,2025,enchimento,0.6957,3
JABOTICABAL,2026,florada,0.4356,3
JABOTICABAL,2026,enchimento,0.7075,3
JAU,2017,florada,,0
JAU,2017,enchimento,0.7325,2
JAU,2018,florada,0.5191,3
JAU,2018,enchimento,0.6518,3
JAU,2019,florada,0.5667,3
JAU,2019,enchimento,0.708,3
JAU,2020,florada,0.5757,3
JAU,2020,enchimento,0.7228,3
JAU,2021,florada,0.4606,3
JAU,2021,enchimento,0.692,3
JAU,2022,florada,0.4532,3
JAU,2022,enchimento,0.607,3
JAU,2023,florada,0.5317,3
JAU,2023,enchimento,0.6868,3
JAU,2024,florada,0.6323,3
JAU,2024,enchimento,0.5324,3
JAU,2025,florada,0.2766,3
JAU,2025,enchimento,0.4612,3
JAU,2026,florada,0.4338,3
JAU,2026,enchimento,0.6728,3
LIMEIRA,2017,florada,,0
LIMEIRA,2017,enchimento,0.7221,2
LIMEIRA,2018,florada,0.4683,3
LIMEIRA,2018,enchimento,0.731,3
LIMEIRA,2019,florada,0.5545,3
LIMEIRA,2019,enchimento,0.7137,3
LIMEIRA,2020,florada,0.6271,3
LIMEIRA,2020,enchimento,0.7433,3
LIMEIRA,2021,florada,0.469,3
LIMEIRA,2021,enchimento,0.7029,3
LIMEIRA,2022,florada,0.3543,3
LIMEIRA,2022,enchimento,0.6467,3
LIMEIRA,2023,florada,0.4855,3
LIMEIRA,2023,enchimento,0.6955,3
LIMEIRA,2024,florada,0.5961,3
LIMEIRA,2024,enchimento,0.7189,3
LIMEIRA,2025,florada,0.4146,3
LIMEIRA,2025,enchimento,0.7436,3
LIMEIRA,2026,florada,0.4627,3
LIMEIRA,2026,enchimento,0.7335,3
MOGI MIRIM,2017,florada,,0
MOGI MIRIM,2017,enchimento,0.6638,2
MOGI MIRIM,2018,florada,0.4718,3
MOGI MIRIM,2018,enchimento,0.6888,3
MOGI MIRIM,2019,florada,0.5919,3
MOGI MIRIM,2019,enchimento,0.6906,3
MOGI MIRIM,2020,florada,0.722,3
MOGI MIRIM,2020,enchimento,0.6836,3
MOGI MIRIM,2021,florada,0.4645,3
MOGI MIRIM,2021,enchimento,0.6518,3
MOGI MIRIM,2022,florada,0.4103,3
MOGI MIRIM,2022,enchimento,0.7327,3
MOGI MIRIM,2023,florada,0.5653,3
MOGI MIRIM,2023,enchimento,0.6775,3
MOGI MIRIM,2024,florada,0.6348,3
MOGI MIRIM,2024,enchimento,0.6722,3
MOGI MIRIM,2025,florada,0.4544,3
MOGI MIRIM,2025,enchimento,0.6888,3
MOGI MIRIM,2026,florada,0.502,3
MOGI MIRIM,2026,enchimento,0.669,3
OURINHOS,2017,florada,,0
OURINHOS,2017,enchimento,0.6982,3
OURINHOS,2018,florada,0.5204,3
OURINHOS,2018,enchimento,0.7211,3
OURINHOS,2019,florada,0.6378,3
OURINHOS,2019,enchimento,0.7701,3
OURINHOS,2020,florada,0.5488,3
OURINHOS,2020,enchimento,0.7158,3
OURINHOS,2021,florada,0.4986,3
OURINHOS,2021,enchimento,0.7351,3
OURINHOS,2022,florada,0.4357,3
OURINHOS,2022,enchimento,0.7175,3
OURINHOS,2023,florada,0.6527,3
OURINHOS,2023,enchimento,0.7258,3
OURINHOS,2024,florada,0.5741,3
OURINHOS,2024,enchimento,0.7604,3
OURINHOS,2025,florada,0.5623,3
OURINHOS,2025,enchimento,0.7715,3
OURINHOS,2026,florada,0.4916,3
OURINHOS,2026,enchimento,0.7671,3
PIRACICABA,2017,florada,,0
PIRACICABA,2017,enchimento,0.5546,3
PIRACICABA,2018,florada,0.4606,3
PIRACICABA,2018,enchimento,0.6407,3
PIRACICABA,2019,florada,0.5431,3
PIRACICABA,2019,enchimento,0.6163,3
PIRACICABA,2020,florada,0.4901,3
PIRACICABA,2020,enchimento,0.6891,3
PIRACICABA,2021,florada,0.4269,3
PIRACICABA,2021,enchimento,0.5942,3
PIRACICABA,2022,florada,0.427,3
PIRACICABA,2022,enchimento,0.5437,3
PIRACICABA,2023,florada,0.4636,3
PIRACICABA,2023,enchimento,0.5607,3
PIRACICABA,2024,florada,0.5481,3
PIRACICABA,2024,enchimento,0.6125,3
PIRACICABA,2025,florada,0.4105,3
PIRACICABA,2025,enchimento,0.6176,3
PIRACICABA,2026,florada,0.4232,3
PIRACICABA,2026,enchimento,0.6852,3
RIBEIRAO PRETO,2017,florada,,0
RIBEIRAO PRETO,2017,enchimento,0.7202,2
RIBEIRAO PRETO,2018,florada,0.4772,3
RIBEIRAO PRETO,2018,enchimento,0.7121,3
RIBEIRAO PRETO,2019,florada,0.5264,3
RIBEIRAO PRETO,2019,enchimento,0.7366,3
RIBEIRAO PRETO,2020,florada,0.5451,3
RIBEIRAO PRETO,2020,enchimento,0.7567,3
RIBEIRAO PRETO,2021,florada,0.4576,3
RIBEIRAO PRETO,2021,enchimento,0.755,3
RIBEIRAO PRETO,2022,florada,0.435,3
RIBEIRAO PRETO,2022,enchimento,0.7214,3
RIBEIRAO PRETO,2023,florada,0.5393,3
RIBEIRAO PRETO,2023,enchimento,0.758,3
RIBEIRAO PRETO,2024,florada,0.5937,3
RIBEIRAO PRETO,2024,enchimento,0.6971,3
RIBEIRAO PRETO,2025,florada,0.4895,3
RIBEIRAO PRETO,2025,enchimento,0.7622,3
RIBEIRAO PRETO,2026,florada,0.5562,3
RIBEIRAO PRETO,2026,enchimento,0.7834,3
SAO JOAO DA BOA VISTA,2017,florada,,0
SAO JOAO DA BOA VISTA,2017,enchimento,0.7334,2
SAO JOAO DA BOA VISTA,2018,florada,0.4337,3
SAO JOAO DA BOA VISTA,2018,enchimento,0.765,3
SAO JOAO DA BOA VISTA,2019,florada,0.4916,3
SAO JOAO DA BOA VISTA,2019,enchimento,0.7486,3
SAO JOAO DA BOA VISTA,2020,florada,0.5724,3
SAO JOAO DA BOA VISTA,2020,enchimento,0.7339,3
SAO JOAO DA BOA VISTA,2021,florada,0.398,3
SAO JOAO DA BOA VISTA,2021,enchimento,0.7654,3
SAO JOAO DA BOA VISTA,2022,florada,0.3348,3
SAO JOAO DA BOA VISTA,2022,enchimento,0.5481,3
SAO JOAO DA BOA VISTA,2023,florada,0.4605,3
SAO JOAO DA BOA VISTA,2023,enchimento,0.6417,3
SAO JOAO DA BOA VISTA,2024,florada,0.4843,3
SAO JOAO DA BOA VISTA,2024,enchimento,0.6803,3
SAO JOAO DA BOA VISTA,2025,florada,0.417,3
SAO JOAO DA BOA VISTA,2025,enchimento,0.6906,3
SAO JOAO DA BOA VISTA,2026,florada,0.4808,3
SAO JOAO DA BOA VISTA,2026,enchimento,0.7087,3
SAO JOSE DO RIO PRETO,2017,florada,,0
SAO JOSE DO RIO PRETO,2017,enchimento,0.7743,3
SAO JOSE DO RIO PRETO,2018,florada,0.5024,3
SAO JOSE DO RIO PRETO,2018,enchimento,0.8024,3
SAO JOSE DO RIO PRETO,2019,florada,0.3938,3
SAO JOSE DO RIO PRETO,2019,enchimento,0.7209,3
SAO JOSE DO RIO PRETO,2020,florada,0.3604,3
SAO JOSE DO RIO PRETO,2020,enchimento,0.6586,3
SAO JOSE DO RIO PRETO,2021,florada,0.344,3
SAO JOSE DO RIO PRETO,2021,enchimento,0.5903,3
SAO JOSE DO RIO PRETO,2022,florada,0.2657,3
SAO JOSE DO RIO PRETO,2022,enchimento,0.5476,3
SAO JOSE DO RIO PRETO,2023,florada,0.4258,3
SAO JOSE DO RIO PRETO,2023,enchimento,0.5768,3
SAO JOSE DO RIO PRETO,2024,florada,0.5137,3
SAO JOSE DO RIO PRETO,2024,enchimento,0.5947,3
SAO JOSE DO RIO PRETO,2025,florada,0.2428,3
SAO JOSE DO RIO PRETO,2025,enchimento,0.7107,3
SAO JOSE DO RIO PRETO,2026,florada,0.4256,3
SAO JOSE DO RIO PRETO,2026,enchimento,0.6555,3
VOTUPORANGA,2017,florada,,0
VOTUPORANGA,2017,enchimento,0.7413,3
VOTUPORANGA,2018,florada,0.4725,3
VOTUPORANGA,2018,enchimento,0.7382,3
VOTUPORANGA,2019,florada,0.4551,3
VOTUPORANGA,2019,enchimento,0.7173,3
VOTUPORANGA,2020,florada,0.4538,3
VOTUPORANGA,2020,enchimento,0.7656,3
VOTUPORANGA,2021,florada,0.3612,3
VOTUPORANGA,2021,enchimento,0.7347,3
VOTUPORANGA,2022,florada,0.2821,3
VOTUPORANGA,2022,enchimento,0.6364,3
VOTUPORANGA,2023,florada,0.3842,3
VOTUPORANGA,2023,enchimento,0.6267,3
VOTUPORANGA,2024,florada,0.4336,3
VOTUPORANGA,2024,enchimento,0.7164,3
VOTUPORANGA,2025,florada,0.3343,3
VOTUPORANGA,2025,enchimento,0.6509,3
VOTUPORANGA,2026,florada,0.3617,3
VOTUPORANGA,2026,enchimento,0.7282,3
