edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
OURINHOS,Ourinhos,1998,2933.2,2600.1,1160.9,15958.0,1791.6389884432162
PRESIDENTE PRUDENTE,Presidente Prudente,1998,2636.6,2435.9,2416.0,10450.0,2300.3302705145557
PRESIDENTE VENCESLAU,Presidente Venceslau,1998,1720.0,1835.1,2190.0,900.0,2164.5623084330123
SOROCABA,Sorocaba,1998,2360.4,2312.5,2307.2,3760.0,2308.937596100055
SAO JOSE DO RIO PRETO,São José do Rio Preto,1998,2356.5,1964.5,1940.9,3501.0,1953.500794165208
SAO JOAO DA BOA VISTA,São João da Boa Vista,1998,1748.4,2902.6,2773.9,930.0,2789.7924431175707
ANDRADINA,Andradina,1999,2711.5,2759.4,2898.9,2666.0,2684.032120840389
ARARAQUARA,Araraquara,1999,2443.4,2421.7,2110.2,1370.0,2402.680277855263
ARACATUBA,Araçatuba,1999,2922.5,2999.8,2857.6,11930.0,2374.018459435835
ASSIS,Assis,1999,3202.9,3723.0,2244.5,150955.0,3091.499420939564
AVARE,Avaré,1999,3025.0,2901.5,2300.6,8630.0,2622.599552224096
BARRETOS,Barretos,1999,1277.6,2489.3,1446.8,41528.0,2089.4371945792527
BOTUCATU,Botucatu,1999,2391.4,2218.9,1757.2,1147.0,2142.041681207863
CAMPINAS,Campinas,1999,2933.9,4998.1,2834.3,1216.0,3857.6380058714362
FERNANDOPOLIS,Fernandópolis,1999,1838.7,1905.7,1668.9,2015.0,1669.0499325582934
FRANCA,Franca,1999,1785.2,2674.5,1643.2,13830.0,2555.162358885385
GENERAL SALGADO,General Salgado,1999,2946.5,2726.8,2902.5,3084.0,2868.610123503113
ITAPETININGA,Itapetininga,1999,2674.7,2881.5,2248.9,3954.0,2715.5599287538093
ITAPEVA,Itapeva,1999,3547.8,3595.2,2627.7,6960.0,3619.973806424043
LIMEIRA,Limeira,1999,2562.5,3472.6,3244.6,912.0,3256.961168191992
MOGI MIRIM,Mogi Mirim,1999,2651.4,3027.7,2948.5,4440.0,2810.515539631737
ORLANDIA,Orlândia,1999,1416.8,2249.8,1301.6,92304.0,1815.911790245486
OURINHOS,Ourinhos,1999,3020.9,2933.2,2600.1,17815.0,2000.5507690488053
PRESIDENTE PRUDENTE,Presidente Prudente,1999,2596.6,2636.6,2435.9,11400.0,2366.6046729481486
PRESIDENTE VENCESLAU,Presidente Venceslau,1999,2163.2,1720.0,1835.1,950.0,2259.0661437823587
SOROCABA,Sorocaba,1999,2358.2,2360.4,2312.5,3140.0,2385.274935091751
SAO JOSE DO RIO PRETO,São José do Rio Preto,1999,2135.6,2356.5,1964.5,3206.0,2330.6896637917985
SAO JOAO DA BOA VISTA,São João da Boa Vista,1999,2830.6,1748.4,2902.6,3330.0,2877.2232680507086
ANDRADINA,Andradina,2000,2734.5,2711.5,2759.4,4181.0,3260.8606128442566
ARARAQUARA,Araraquara,2000,1563.5,2443.4,2421.7,1370.0,2844.6360647139077
ARACATUBA,Araçatuba,2000,1428.4,2922.5,2999.8,12380.0,3235.673909836961
ASSIS,Assis,2000,1887.2,3202.9,3723.0,148884.0,3508.996699123423
AVARE,Avaré,2000,2251.2,3025.0,2901.5,10400.0,3536.1794448691685
BARRETOS,Barretos,2000,684.2,1277.6,2489.3,35475.0,3151.791017329648
BOTUCATU,Botucatu,2000,1536.8,2391.4,2218.9,2690.0,2844.454520461831
CAMPINAS,Campinas,2000,2822.3,2933.9,4998.1,1790.0,4001.9167775036376
FERNANDOPOLIS,Fernandópolis,2000,1897.3,1838.7,1905.7,2220.0,2337.0886143477182
FRANCA,Franca,2000,2664.9,1785.2,2674.5,14280.0,3185.049147302947
GENERAL SALGADO,General Salgado,2000,2486.4,2946.5,2726.8,4662.0,3337.8405839777292
ITAPETININGA,Itapetininga,2000,3252.4,2674.7,2881.5,8440.0,3445.216612591836
ITAPEVA,Itapeva,2000,4042.6,3547.8,3595.2,14778.0,3932.8519885833803
LIMEIRA,Limeira,2000,2632.2,2562.5,3472.6,1460.0,3568.8416805692236
MOGI MIRIM,Mogi Mirim,2000,3395.3,2651.4,3027.7,2699.0,3412.185225142689
ORLANDIA,Orlândia,2000,1242.7,1416.8,2249.8,78830.0,3340.6752673202013
OURINHOS,Ourinhos,2000,2000.8,3020.9,2933.2,14852.0,3544.8845938210784
PRESIDENTE PRUDENTE,Presidente Prudente,2000,1646.2,2596.6,2636.6,14560.0,3250.302038260192
PRESIDENTE VENCESLAU,Presidente Venceslau,2000,1676.7,2163.2,1720.0,1178.0,2452.609646374685
SOROCABA,Sorocaba,2000,2800.0,2358.2,2360.4,1500.0,2754.546828527497
SAO JOSE DO RIO PRETO,São José do Rio Preto,2000,1704.4,2135.6,2356.5,3540.0,2725.787772286179
SAO JOAO DA BOA VISTA,São João da Boa Vista,2000,2394.9,2830.6,1748.4,2340.0,3549.5562533536017
ANDRADINA,Andradina,2001,4077.8,2734.5,2711.5,2210.0,2942.180381026508
ARARAQUARA,Araraquara,2001,2542.6,1563.5,2443.4,3030.0,3095.922515623784
ARACATUBA,Araçatuba,2001,2973.5,1428.4,2922.5,14720.0,2972.212806071571
ASSIS,Assis,2001,2794.2,1887.2,3202.9,138831.0,3428.0602460388964
AVARE,Avaré,2001,3355.0,2251.2,3025.0,10960.0,3119.767670035217
BARRETOS,Barretos,2001,894.6,684.2,1277.6,23205.0,2450.539452324118
BOTUCATU,Botucatu,2001,2691.4,1536.8,2391.4,1750.0,2785.1083353169956
CAMPINAS,Campinas,2001,3337.5,2822.3,2933.9,480.0,3448.757871277985
FERNANDOPOLIS,Fernandópolis,2001,1862.5,1897.3,1838.7,1900.0,2172.9398012378615
FRANCA,Franca,2001,2259.3,2664.9,1785.2,4820.0,2433.3249789514966
GENERAL SALGADO,General Salgado,2001,3176.8,2486.4,2946.5,2667.0,2923.8427170184823
ITAPETININGA,Itapetininga,2001,3420.6,3252.4,2674.7,4950.0,3152.0406002839104
ITAPEVA,Itapeva,2001,4156.3,4042.6,3547.8,15100.0,4589.07877550786
LIMEIRA,Limeira,2001,2875.9,2632.2,2562.5,1450.0,3211.1996994739957
MOGI MIRIM,Mogi Mirim,2001,3756.7,3395.3,2651.4,5115.0,3666.470319589119
ORLANDIA,Orlândia,2001,1216.3,1242.7,1416.8,51900.0,1787.3868642871328
OURINHOS,Ourinhos,2001,2924.6,2000.8,3020.9,18370.0,3261.4683578782933
