edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
ORLANDIA,Orlândia,2013,1268.5,1819.0,1601.7,2076.17,1659.5319651223747
OURINHOS,Ourinhos,2013,1421.6,1438.1,1321.6,16560.12,1296.1393963577514
RIBEIRAO PRETO,Ribeirão Preto,2013,1521.3,1647.6,1538.3,4552.05,1475.8564086116153
SAO JOAO DA BOA VISTA,São João da Boa Vista,2013,1347.0,1598.1,1173.4,40563.15,1100.0356322392363
TUPA,Tupã,2013,719.7,663.1,636.0,6368.74,630.8892091078526
ARARAQUARA,Araraquara,2014,852.0,923.9,963.0,1792.0,1116.4127538088342
AVARE,Avaré,2014,1086.2,1044.9,1040.7,6829.78,1027.9031581313534
BAURU,Bauru,2014,778.4,897.5,953.0,931.89,1032.0060029265826
BOTUCATU,Botucatu,2014,1069.1,1292.5,1450.2,3925.96,1176.1733602612749
BRAGANCA PAULISTA,Bragança Paulista,2014,1335.6,1437.0,1582.3,9306.05,1369.853797903783
DRACENA,Dracena,2014,840.5,922.5,731.8,3622.0,791.6075891191881
FRANCA,Franca,2014,1798.1,1533.2,1958.2,57497.2,2235.4076955943638
JAU,Jaú,2014,1582.4,1200.7,1702.4,6693.83,1366.22524311452
LINS,Lins,2014,1010.2,1262.0,1165.9,2090.16,1318.9127866891984
MARILIA,Marília,2014,1202.8,1394.1,1541.0,25178.93,1495.2326929072535
MOGI MIRIM,Mogi Mirim,2014,549.2,770.3,693.9,3085.0,1048.1823009780096
ORLANDIA,Orlândia,2014,1651.4,1268.5,1819.0,2192.23,2083.781470030699
OURINHOS,Ourinhos,2014,1189.1,1421.6,1438.1,17828.11,1323.5315666886238
RIBEIRAO PRETO,Ribeirão Preto,2014,1418.7,1521.3,1647.6,4989.5,1498.4659635551334
SAO JOAO DA BOA VISTA,São João da Boa Vista,2014,1249.2,1347.0,1598.1,44067.7,1488.5455914612742
TUPA,Tupã,2014,437.7,719.7,663.1,6018.0,712.1397469857224
ARARAQUARA,Araraquara,2015,918.9,852.0,923.9,1822.0,904.7611056359433
AVARE,Avaré,2015,1041.2,1086.2,1044.9,6431.51,1170.0603787411515
BAURU,Bauru,2015,919.9,778.4,897.5,902.89,1037.0132574211707
BOTUCATU,Botucatu,2015,1189.3,1069.1,1292.5,3784.34,1256.2666907249886
BRAGANCA PAULISTA,Bragança Paulista,2015,1421.8,1335.6,1437.0,9329.0,1407.651695713271
DRACENA,Dracena,2015,871.2,840.5,922.5,3400.0,868.4242071228193
FRANCA,Franca,2015,1018.4,1798.1,1533.2,59337.2,1473.035854097076
JAU,Jaú,2015,1597.6,1582.4,1200.7,6844.0,1365.1228787282664
LINS,Lins,2015,1229.2,1010.2,1262.0,1721.5,1300.0041139799457
MARILIA,Marília,2015,1383.6,1202.8,1394.1,24253.0,1421.5452320442503
MOGI MIRIM,Mogi Mirim,2015,533.1,549.2,770.3,3085.0,832.9950947892133
ORLANDIA,Orlândia,2015,1890.0,1651.4,1268.5,2245.3,1423.7070948807268
OURINHOS,Ourinhos,2015,1503.9,1189.1,1421.6,16936.0,1429.439154162185
RIBEIRAO PRETO,Ribeirão Preto,2015,1210.1,1418.7,1521.3,4946.6,1408.423530331529
SAO JOAO DA BOA VISTA,São João da Boa Vista,2015,1350.1,1249.2,1347.0,43693.95,1406.7429048556191
TUPA,Tupã,2015,714.3,437.7,719.7,5642.0,797.4684579130118
ARARAQUARA,Araraquara,2016,902.5,918.9,852.0,1798.0,1038.1081441487956
AVARE,Avaré,2016,1401.6,1041.2,1086.2,6560.0,1260.5476552865634
BAURU,Bauru,2016,892.4,919.9,778.4,815.8,997.3229664429422
BOTUCATU,Botucatu,2016,1226.5,1189.3,1069.1,3756.3,1173.520732897284
BRAGANCA PAULISTA,Bragança Paulista,2016,1499.9,1421.8,1335.6,9105.0,1440.6939321055609
