edr_chave,edr,ano,rendimento_kg_ha,rendimento_a1,rendimento_a2,area_ha,previsto
TUPA,Tupã,2021,612.0,940.0,850.0,3527.0,904.4409642857148
ARARAQUARA,Araraquara,2022,905.0,1212.0,1186.0,2303.84,1413.185841269841
AVARE,Avaré,2022,1576.0,1230.0,1429.0,5390.3,1457.287576190476
BOTUCATU,Botucatu,2022,1194.0,1303.0,1237.0,2223.2,1393.0611095238094
BRAGANCA PAULISTA,Bragança Paulista,2022,1490.0,1585.0,1803.0,7513.0,1823.6731912698426
DRACENA,Dracena,2022,801.0,1326.0,905.0,1490.0,1184.1374865079363
FRANCA,Franca,2022,1392.0,1148.0,2506.0,68129.0,2326.992341269841
JAU,Jaú,2022,1736.0,1684.0,1847.0,6868.0,1924.7964753968258
MARILIA,Marília,2022,1072.0,1223.0,1650.0,18453.0,1551.1680166666665
MOGI MIRIM,Mogi Mirim,2022,899.0,902.0,1079.0,1457.5,1059.7027166666664
ORLANDIA,Orlândia,2022,1910.0,2569.0,2565.0,2380.96,2363.545081746031
OURINHOS,Ourinhos,2022,1452.0,1458.0,1488.0,11850.0,1469.604776984127
RIBEIRAO PRETO,Ribeirão Preto,2022,1253.0,1326.0,1716.0,5148.55,1611.1110896103903
SAO JOAO DA BOA VISTA,São João da Boa Vista,2022,1553.0,1152.0,1723.0,47911.0,1588.8816697691202
TUPA,Tupã,2022,374.0,612.0,940.0,2420.0,754.0082142857143
ARARAQUARA,Araraquara,2023,1146.0,905.0,1212.0,2201.0,1300.7483071428576
AVARE,Avaré,2023,1499.0,1576.0,1230.0,5139.3,1516.5243484126981
BOTUCATU,Botucatu,2023,1376.0,1194.0,1303.0,2268.2,1310.3838357142856
BRAGANCA PAULISTA,Bragança Paulista,2023,1599.0,1490.0,1585.0,6768.0,1510.6850707792203
DRACENA,Dracena,2023,1421.0,801.0,1326.0,486.0,1356.2678142857146
FRANCA,Franca,2023,1938.0,1392.0,1148.0,69183.0,1315.886165873017
JAU,Jaú,2023,1525.0,1736.0,1684.0,6985.0,1628.6163015873012
MARILIA,Marília,2023,1455.0,1072.0,1223.0,18305.0,1423.3906420634937
MOGI MIRIM,Mogi Mirim,2023,1002.0,899.0,902.0,1207.5,929.9667015873022
ORLANDIA,Orlândia,2023,2643.0,1910.0,2569.0,2177.96,2308.4542880952367
OURINHOS,Ourinhos,2023,1603.0,1452.0,1458.0,11948.0,1435.525911111112
RIBEIRAO PRETO,Ribeirão Preto,2023,1699.0,1253.0,1326.0,5410.0,1470.7167572871572
SAO JOAO DA BOA VISTA,São João da Boa Vista,2023,1676.0,1553.0,1152.0,46889.0,1333.6183563492064
TUPA,Tupã,2023,843.0,374.0,612.0,2022.0,768.1858507936508
ARARAQUARA,Araraquara,2024,1202.0,1146.0,905.0,2330.4,999.4472563492066
AVARE,Avaré,2024,1501.0,1499.0,1576.0,4608.0,1452.64987063492
BOTUCATU,Botucatu,2024,1369.0,1376.0,1194.0,2168.2,1309.7005595238086
BRAGANCA PAULISTA,Bragança Paulista,2024,1623.0,1599.0,1490.0,6929.0,1540.8352573593077
DRACENA,Dracena,2024,1117.0,1421.0,801.0,502.0,1082.1006000721502
FRANCA,Franca,2024,1684.0,1938.0,1392.0,68493.0,1294.4548571428566
JAU,Jaú,2024,1473.0,1525.0,1736.0,6850.0,1493.7910293650789
MARILIA,Marília,2024,1184.0,1455.0,1072.0,12957.0,1200.3560801587305
MOGI MIRIM,Mogi Mirim,2024,1072.0,1002.0,899.0,1406.5,929.5346814574317
ORLANDIA,Orlândia,2024,2020.0,2643.0,1910.0,2030.96,2149.476825396825
OURINHOS,Ourinhos,2024,1809.0,1603.0,1452.0,11590.0,1441.4106238095237
RIBEIRAO PRETO,Ribeirão Preto,2024,1534.0,1699.0,1253.0,5190.0,1389.5004452380956
SAO JOAO DA BOA VISTA,São João da Boa Vista,2024,1558.0,1676.0,1553.0,46404.0,1430.9444833333332
TUPA,Tupã,2024,509.0,843.0,374.0,1837.0,864.5870515873015
ARARAQUARA,Araraquara,2025,1149.0,1202.0,1146.0,2349.0,1350.8256579975584
AVARE,Avaré,2025,1532.0,1501.0,1499.0,4907.0,1402.034555555556
BOTUCATU,Botucatu,2025,1371.0,1369.0,1376.0,2174.2,1298.3638158730168
BRAGANCA PAULISTA,Bragança Paulista,2025,1734.0,1623.0,1599.0,7294.5,1514.419203174603
DRACENA,Dracena,2025,1241.0,1117.0,1421.0,620.0,1419.7464619047616
FRANCA,Franca,2025,1602.0,1684.0,1938.0,68862.0,1975.7708344155826
JAU,Jaú,2025,1280.0,1473.0,1525.0,6794.8,1484.183515079365
MARILIA,Marília,2025,1258.0,1184.0,1455.0,13033.58,1460.1937374458882
MOGI MIRIM,Mogi Mirim,2025,904.0,1072.0,1002.0,1457.4,1032.62747069597
ORLANDIA,Orlândia,2025,1914.0,2020.0,2643.0,2109.0,2138.9248531746025
OURINHOS,Ourinhos,2025,1860.0,1809.0,1603.0,11253.0,1482.7608285714282
RIBEIRAO PRETO,Ribeirão Preto,2025,1737.0,1534.0,1699.0,5493.0,1545.1778111111112
SAO JOAO DA BOA VISTA,São João da Boa Vista,2025,1436.0,1558.0,1676.0,41696.0,1514.715104761905
TUPA,Tupã,2025,841.0,509.0,843.0,1595.4,556.8213880952381
