edr_chave,ano,janela,ndvi,n_cenas
OURINHOS,2017,enchimento,0.6562,3
OURINHOS,2018,florada,0.4951,3
OURINHOS,2018,enchimento,0.6742,3
OURINHOS,2019,florada,0.5555,3
OURINHOS,2019,enchimento,0.7005,3
OURINHOS,2020,florada,0.4758,3
OURINHOS,2020,enchimento,0.6638,3
OURINHOS,2021,florada,0.543,3
OURINHOS,2021,enchimento,0.6417,3
OURINHOS,2022,florada,0.4546,3
OURINHOS,2022,enchimento,0.6559,3
OURINHOS,2023,florada,0.5559,3
OURINHOS,2023,enchimento,0.6653,3
OURINHOS,2024,florada,0.4923,3
OURINHOS,2024,enchimento,0.6292,3
OURINHOS,2025,florada,0.5265,3
OURINHOS,2025,enchimento,0.6907,3
OURINHOS,2026,florada,0.4376,3
OURINHOS,2026,enchimento,0.6929,3
RIBEIRAO PRETO,2017,florada,,0
RIBEIRAO PRETO,2017,enchimento,0.7146,2
RIBEIRAO PRETO,2018,florada,0.4368,3
RIBEIRAO PRETO,2018,enchimento,0.627,3
RIBEIRAO PRETO,2019,florada,0.4721,3
RIBEIRAO PRETO,2019,enchimento,0.7701,3
RIBEIRAO PRETO,2020,florada,0.5797,3
RIBEIRAO PRETO,2020,enchimento,0.7708,3
RIBEIRAO PRETO,2021,florada,0.4049,3
RIBEIRAO PRETO,2021,enchimento,0.7464,3
RIBEIRAO PRETO,2022,florada,0.3619,3
RIBEIRAO PRETO,2022,enchimento,0.6815,3
RIBEIRAO PRETO,2023,florada,0.5252,3
RIBEIRAO PRETO,2023,enchimento,0.7034,3
RIBEIRAO PRETO,2024,florada,0.5776,3
RIBEIRAO PRETO,2024,enchimento,0.6747,3
RIBEIRAO PRETO,2025,florada,0.3811,3
RIBEIRAO PRETO,2025,enchimento,0.6843,3
RIBEIRAO PRETO,2026,florada,0.5311,3
RIBEIRAO PRETO,2026,enchimento,0.7299,3
SAO JOAO DA BOA VISTA,2017,florada,,0
SAO JOAO DA BOA VISTA,2017,enchimento,0.6735,2
SAO JOAO DA BOA VISTA,2018,florada,0.5165,3
SAO JOAO DA BOA VISTA,2018,enchimento,0.7335,3
SAO JOAO DA BOA VISTA,2019,florada,0.5947,3
SAO JOAO DA BOA VISTA,2019,enchimento,0.7779,3
SAO JOAO DA BOA VISTA,2020,florada,0.594,3
SAO JOAO DA BOA VISTA,2020,enchimento,0.7721,3
SAO JOAO DA BOA VISTA,2021,florada,0.4583,3
SAO JOAO DA BOA VISTA,2021,enchimento,0.7792,3
SAO JOAO DA BOA VISTA,2022,florada,0.4666,3
SAO JOAO DA BOA VISTA,2022,enchimento,0.7695,3
SAO JOAO DA BOA VISTA,2023,florada,0.5849,3
SAO JOAO DA BOA VISTA,2023,enchimento,0.714,3
SAO JOAO DA BOA VISTA,2024,florada,0.6426,3
SAO JOAO DA BOA VISTA,2024,enchimento,0.7498,3
SAO JOAO DA BOA VISTA,2025,florada,0.3913,3
SAO JOAO DA BOA VISTA,2025,enchimento,0.7376,3
SAO JOAO DA BOA VISTA,2026,florada,0.5338,3
SAO JOAO DA BOA VISTA,2026,enchimento,0.7402,3
