edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
PRESIDENTE VENCESLAU,Presidente Venceslau,1991,2686.3,3000.0,2343.8,106.0,2273.677565361002
RIBEIRAO PRETO,Ribeirão Preto,1991,2382.3,2449.8,2629.4,11978.0,2316.4442189162132
SAO JOSE DO RIO PRETO,São José do Rio Preto,1991,1779.8,1881.8,1748.2,1613.0,1791.5314770142656
TUPA,Tupã,1991,1691.2,1603.1,1488.4,7696.0,1574.313357411998
ANDRADINA,Andradina,1992,1177.2,2096.5,1176.3,955.0,1445.764944586246
ARARAQUARA,Araraquara,1992,1962.8,2017.8,1326.0,7895.0,1731.7583576873028
ARACATUBA,Araçatuba,1992,2138.0,1900.1,1661.2,5559.0,1656.3109862657743
ASSIS,Assis,1992,1874.3,1683.5,1619.9,8465.0,1789.483263501663
BARRETOS,Barretos,1992,2276.7,2442.2,2703.3,1097.0,2374.831950541605
BAURU,Bauru,1992,2015.7,1372.8,1370.6,493.0,1137.310322606427
CATANDUVA,Catanduva,1992,1573.0,1614.2,1361.1,1784.0,1587.7942867492845
DRACENA,Dracena,1992,1447.3,1626.8,1539.8,2820.0,1863.420694406247
GENERAL SALGADO,General Salgado,1992,1664.8,1624.5,1327.1,270.0,1838.2388708065942
JABOTICABAL,Jaboticabal,1992,1927.1,2127.3,1981.3,12760.0,2369.3509833454045
LINS,Lins,1992,1423.4,1302.2,1343.2,3590.0,1647.3513787111551
MARILIA,Marília,1992,1583.6,1534.4,1505.7,7473.0,1531.638211574691
ORLANDIA,Orlândia,1992,2219.8,2468.6,2568.4,1820.0,2439.8390155888537
PRESIDENTE PRUDENTE,Presidente Prudente,1992,1526.3,1722.8,1587.7,4571.0,1586.4683669429319
PRESIDENTE VENCESLAU,Presidente Venceslau,1992,1092.0,2686.3,3000.0,407.0,2504.8725872750792
RIBEIRAO PRETO,Ribeirão Preto,1992,2133.1,2382.3,2449.8,11480.0,2466.4974990426435
SAO JOSE DO RIO PRETO,São José do Rio Preto,1992,1630.4,1779.8,1881.8,1583.0,1757.405571261798
TUPA,Tupã,1992,1653.8,1691.2,1603.1,9360.0,1577.2036980016853
ANDRADINA,Andradina,1993,2267.8,1177.2,2096.5,610.0,1005.422445646702
ARARAQUARA,Araraquara,1993,2002.6,1962.8,2017.8,3855.0,1817.8666195817318
ARACATUBA,Araçatuba,1993,1844.6,2138.0,1900.1,3025.0,1996.6656780625874
ASSIS,Assis,1993,1940.5,1874.3,1683.5,6680.0,1714.293385530252
BARRETOS,Barretos,1993,1528.7,2276.7,2442.2,1758.0,2534.9902602816123
BAURU,Bauru,1993,2088.7,2015.7,1372.8,186.0,2184.5863609452895
CATANDUVA,Catanduva,1993,1695.2,1573.0,1614.2,2204.0,1637.7302839339106
DRACENA,Dracena,1993,1408.8,1447.3,1626.8,1776.0,1373.052326339991
GENERAL SALGADO,General Salgado,1993,1826.5,1664.8,1624.5,366.0,1977.6668795300989
JABOTICABAL,Jaboticabal,1993,2129.6,1927.1,2127.3,12230.0,2024.69951539896
LINS,Lins,1993,1659.2,1423.4,1302.2,2835.0,1315.3006729391689
MARILIA,Marília,1993,1645.1,1583.6,1534.4,6391.0,1581.5083074285976
ORLANDIA,Orlândia,1993,2207.7,2219.8,2468.6,2241.0,2479.2005930811342
PRESIDENTE PRUDENTE,Presidente Prudente,1993,1804.9,1526.3,1722.8,2848.0,1452.699558104176
PRESIDENTE VENCESLAU,Presidente Venceslau,1993,1938.4,1092.0,2686.3,1015.0,2034.4207947064206
RIBEIRAO PRETO,Ribeirão Preto,1993,2430.5,2133.1,2382.3,11275.0,2122.981382192961
SAO JOSE DO RIO PRETO,São José do Rio Preto,1993,1643.0,1630.4,1779.8,1465.0,1804.57525800516
TUPA,Tupã,1993,1585.0,1653.8,1691.2,9504.0,1748.7809367193709
ANDRADINA,Andradina,1994,1632.7,2267.8,1177.2,1436.0,2070.4507764831806
ARARAQUARA,Araraquara,1994,1925.3,2002.6,1962.8,4676.0,1851.4578311894265
ARACATUBA,Araçatuba,1994,1855.1,1844.6,2138.0,2435.0,1832.4580709826603
ASSIS,Assis,1994,1521.9,1940.5,1874.3,5590.0,1901.2412098782895
BARRETOS,Barretos,1994,1173.1,1528.7,2276.7,1300.0,2261.708321515328
BAURU,Bauru,1994,2145.8,2088.7,2015.7,108.0,1865.2024982551263
CATANDUVA,Catanduva,1994,1152.3,1695.2,1573.0,1637.0,1475.5289658859842
DRACENA,Dracena,1994,1717.6,1408.8,1447.3,1235.0,1376.606028893529
GENERAL SALGADO,General Salgado,1994,1921.7,1826.5,1664.8,207.0,1779.2207293013282
JABOTICABAL,Jaboticabal,1994,2397.5,2129.6,1927.1,11832.0,2009.9234701340679
LINS,Lins,1994,1874.5,1659.2,1423.4,1528.0,1460.2913279083275
MARILIA,Marília,1994,1661.6,1645.1,1583.6,6574.0,1343.514006336586
ORLANDIA,Orlândia,1994,2000.0,2207.7,2219.8,300.0,2056.859208681904
PRESIDENTE PRUDENTE,Presidente Prudente,1994,2005.2,1804.9,1526.3,3627.0,1987.7702020172524
PRESIDENTE VENCESLAU,Presidente Venceslau,1994,2329.2,1938.4,1092.0,161.0,1990.184539930189
RIBEIRAO PRETO,Ribeirão Preto,1994,2611.0,2430.5,2133.1,11820.0,2291.322037845238
SAO JOSE DO RIO PRETO,São José do Rio Preto,1994,1530.1,1643.0,1630.4,1297.0,1926.9790578860345
TUPA,Tupã,1994,1683.4,1585.0,1653.8,11186.0,1482.4460874545066
ANDRADINA,Andradina,1995,2060.1,1632.7,2267.8,1062.0,1466.8496998099158
ARARAQUARA,Araraquara,1995,2032.2,1925.3,2002.6,7230.0,2070.0172944126175
ARACATUBA,Araçatuba,1995,2014.0,1855.1,1844.6,2385.0,1784.762899886354
ASSIS,Assis,1995,1857.4,1521.9,1940.5,6441.0,1610.4597050907473
BARRETOS,Barretos,1995,2697.8,1173.1,1528.7,1675.0,1658.748773309083
BAURU,Bauru,1995,1991.7,2145.8,2088.7,106.0,2311.0814139403383
CATANDUVA,Catanduva,1995,1202.5,1152.3,1695.2,1621.0,1216.1076833654329
DRACENA,Dracena,1995,1660.6,1717.6,1408.8,1246.0,1583.2879393382157
GENERAL SALGADO,General Salgado,1995,1586.6,1921.7,1826.5,153.0,1651.1410595637176
JABOTICABAL,Jaboticabal,1995,2180.7,2397.5,2129.6,12822.0,2423.972940995452
LINS,Lins,1995,1871.5,1874.5,1659.2,2142.0,1841.1711493624784
MARILIA,Marília,1995,1255.4,1661.6,1645.1,6460.0,1532.0059377303965
ORLANDIA,Orlândia,1995,2482.4,2000.0,2207.7,1226.0,1994.0962424663146
PRESIDENTE PRUDENTE,Presidente Prudente,1995,1818.1,2005.2,1804.9,3512.0,2045.1135480347295
PRESIDENTE VENCESLAU,Presidente Venceslau,1995,2540.8,2329.2,1938.4,95.0,2303.6160034427694
RIBEIRAO PRETO,Ribeirão Preto,1995,2453.3,2611.0,2430.5,15570.0,2265.4286410986265
SAO JOSE DO RIO PRETO,São José do Rio Preto,1995,1410.4,1530.1,1643.0,1262.0,1648.8248702264996
TUPA,Tupã,1995,1314.2,1683.4,1585.0,13024.0,1426.1700391468382
ANDRADINA,Andradina,1996,2510.1,2060.1,1632.7,964.0,1893.5107305093488
ARARAQUARA,Araraquara,1996,1804.4,2032.2,1925.3,4160.0,1901.4703547725685
ARACATUBA,Araçatuba,1996,2287.0,2014.0,1855.1,2049.0,1776.9594366034933
ASSIS,Assis,1996,1959.9,1857.4,1521.9,6230.0,2014.0203083304255
BARRETOS,Barretos,1996,2816.3,2697.8,1173.1,490.0,2759.877632470973
BAURU,Bauru,1996,2031.2,1991.7,2145.8,80.0,2549.495509625627
CATANDUVA,Catanduva,1996,1283.9,1202.5,1152.3,1672.0,1459.0937152342244
