edr_chave,edr,ano,alvo,rendimento_a1,rendimento_a2,capacidade,previsto
PIRACICABA,Piracicaba,1993,1.7949,1.8635,1.8024,909400.0,1.9605906780387055
RIBEIRAO PRETO,Ribeirão Preto,1993,1.6822,1.5834,1.5909,3208000.0,1.5568634916365873
SOROCABA,Sorocaba,1993,2.6825,2.9044,2.835,1500800.0,2.760209929799222
SAO JOSE DO RIO PRETO,São José do Rio Preto,1993,2.3016,2.2302,2.2955,13158750.0,2.260147701347874
SAO JOAO DA BOA VISTA,São João da Boa Vista,1993,2.1775,2.6283,2.6956,5736200.0,2.5011103273286026
VOTUPORANGA,Votuporanga,1993,2.3237,2.2037,2.0111,1415500.0,2.331099972870302
ARARAQUARA,Araraquara,1994,1.7479,1.8924,1.8159,18962600.0,1.9399523639637861
AVARE,Avaré,1994,1.5953,1.6531,1.6979,582780.0,1.8160330138632972
BARRETOS,Barretos,1994,1.7917,1.7956,1.9113,39816069.0,1.8663397322792834
BAURU,Bauru,1994,2.4762,2.2944,2.4154,1174864.0,2.4610705800906483
BOTUCATU,Botucatu,1994,2.0771,1.444,1.5364,872824.0,1.818481427043779
CATANDUVA,Catanduva,1994,1.9502,2.1745,2.1969,17512000.0,2.1195862537435115
FERNANDOPOLIS,Fernandópolis,1994,2.3602,2.4828,2.4944,3202000.0,2.4429251150611835
FRANCA,Franca,1994,1.2063,0.962,1.1954,793000.0,1.4259343427990774
GENERAL SALGADO,General Salgado,1994,2.1919,2.4082,2.3855,2718656.0,2.459430538009272
ITAPETININGA,Itapetininga,1994,1.61,1.6637,2.3711,3111130.0,1.500888017999785
ITAPEVA,Itapeva,1994,2.2339,2.5369,2.897,469369.0,2.4510698108226237
JABOTICABAL,Jaboticabal,1994,1.7098,2.1066,2.1543,19915700.0,2.158630104218822
JALES,Jales,1994,2.8517,2.4722,2.5809,3016000.0,2.4566707777227332
JAU,Jaú,1994,3.2714,2.0834,1.6978,4156800.0,2.1143060341810425
LIMEIRA,Limeira,1994,1.9167,1.9008,2.0344,11702000.0,1.9678430126117947
LINS,Lins,1994,2.4398,1.8521,2.3431,1089707.0,2.1233093090904123
MOGI MIRIM,Mogi Mirim,1994,2.2722,2.2706,2.5259,20772200.0,2.3058251335047517
OURINHOS,Ourinhos,1994,1.8161,1.9667,1.7246,633840.0,2.020410926376013
PIRACICABA,Piracicaba,1994,1.8677,1.7949,1.8635,910800.0,1.7894318876690463
RIBEIRAO PRETO,Ribeirão Preto,1994,1.6424,1.6822,1.5834,3289800.0,1.8024743127956404
SOROCABA,Sorocaba,1994,2.9273,2.6825,2.9044,1383100.0,2.436695025525428
SAO JOSE DO RIO PRETO,São José do Rio Preto,1994,2.2225,2.3016,2.2302,14418500.0,2.1637224588498096
SAO JOAO DA BOA VISTA,São João da Boa Vista,1994,2.4156,2.1775,2.6283,6121700.0,2.388410524159009
VOTUPORANGA,Votuporanga,1994,2.011,2.3237,2.2037,1594250.0,2.302356015906287
ARARAQUARA,Araraquara,1995,1.7343,1.7479,1.8924,19048200.0,1.7354035661899068
AVARE,Avaré,1995,1.4402,1.5953,1.6531,825420.0,1.9589970403096058
BARRETOS,Barretos,1995,1.7999,1.7917,1.7956,39016069.0,1.7915738021520606
BAURU,Bauru,1995,2.5779,2.4762,2.2944,1285325.0,2.3537376384723236
BOTUCATU,Botucatu,1995,1.9825,2.0771,1.444,920124.0,2.3026935364004713
CATANDUVA,Catanduva,1995,1.7844,1.9502,2.1745,17335000.0,1.962606134118627
FERNANDOPOLIS,Fernandópolis,1995,2.1795,2.3602,2.4828,3392000.0,2.3563322618282974
FRANCA,Franca,1995,1.511,1.2063,0.962,851800.0,1.5408819640800386
GENERAL SALGADO,General Salgado,1995,2.1633,2.1919,2.4082,2698653.0,2.2751382509430456
ITAPETININGA,Itapetininga,1995,1.6433,1.61,1.6637,3886964.0,1.7506133618624156
ITAPEVA,Itapeva,1995,2.0225,2.2339,2.5369,788300.0,2.132926489154024
JABOTICABAL,Jaboticabal,1995,1.7307,1.7098,2.1066,20566700.0,2.0632329320078195
JALES,Jales,1995,2.0788,2.8517,2.4722,3417940.0,2.728885547343198
JAU,Jaú,1995,2.3776,3.2714,2.0834,6179800.0,2.840853608196543
