edr,edr_chave,oeste,sul,leste,norte,cafe_ha
Barretos,BARRETOS,-48.66812124079481,-20.376392754819836,-48.61799524794095,-20.326266761965964,108.6
Barretos,BARRETOS,-49.06912918362577,-20.426518747673704,-49.0190031907719,-20.376392754819836,210.3
Barretos,BARRETOS,-49.0190031907719,-20.426518747673704,-48.96887719791803,-20.376392754819836,50.0
Barretos,BARRETOS,-48.818499219356426,-20.426518747673704,-48.768373226502554,-20.376392754819836,215.4
Barretos,BARRETOS,-48.768373226502554,-20.426518747673704,-48.71824723364868,-20.376392754819836,826.8
Barretos,BARRETOS,-48.66812124079481,-20.426518747673704,-48.61799524794095,-20.376392754819836,111.2
Barretos,BARRETOS,-48.61799524794095,-20.426518747673704,-48.567869255087075,-20.376392754819836,529.8
Barretos,BARRETOS,-49.21950716218738,-20.476644740527576,-49.169381169333505,-20.426518747673704,143.6
Barretos,BARRETOS,-49.169381169333505,-20.476644740527576,-49.11925517647964,-20.426518747673704,269.3
Barretos,BARRETOS,-49.0190031907719,-20.476644740527576,-48.96887719791803,-20.426518747673704,164.0
Barretos,BARRETOS,-48.818499219356426,-20.476644740527576,-48.768373226502554,-20.426518747673704,161.1
Barretos,BARRETOS,-48.768373226502554,-20.476644740527576,-48.71824723364868,-20.426518747673704,144.2
Barretos,BARRETOS,-48.71824723364868,-20.476644740527576,-48.66812124079481,-20.426518747673704,1529.0
Barretos,BARRETOS,-48.66812124079481,-20.476644740527576,-48.61799524794095,-20.426518747673704,429.6
Barretos,BARRETOS,-48.61799524794095,-20.476644740527576,-48.567869255087075,-20.426518747673704,1440.1
Barretos,BARRETOS,-49.21950716218738,-20.526770733381444,-49.169381169333505,-20.476644740527576,597.5
Barretos,BARRETOS,-49.169381169333505,-20.526770733381444,-49.11925517647964,-20.476644740527576,353.7
Barretos,BARRETOS,-49.0190031907719,-20.526770733381444,-48.96887719791803,-20.476644740527576,176.1
Barretos,BARRETOS,-48.96887719791803,-20.526770733381444,-48.91875120506416,-20.476644740527576,260.5
Barretos,BARRETOS,-48.91875120506416,-20.526770733381444,-48.86862521221029,-20.476644740527576,263.7
Barretos,BARRETOS,-48.86862521221029,-20.526770733381444,-48.818499219356426,-20.476644740527576,91.5
Barretos,BARRETOS,-48.66812124079481,-20.526770733381444,-48.61799524794095,-20.476644740527576,1053.9
Barretos,BARRETOS,-48.61799524794095,-20.526770733381444,-48.567869255087075,-20.476644740527576,1158.9
Barretos,BARRETOS,-48.567869255087075,-20.526770733381444,-48.5177432622332,-20.476644740527576,157.9
Barretos,BARRETOS,-48.96887719791803,-20.57689672623531,-48.91875120506416,-20.526770733381444,146.8
Barretos,BARRETOS,-48.91875120506416,-20.57689672623531,-48.86862521221029,-20.526770733381444,216.6
Barretos,BARRETOS,-48.818499219356426,-20.57689672623531,-48.768373226502554,-20.526770733381444,135.0
Barretos,BARRETOS,-48.66812124079481,-20.627022719089183,-48.61799524794095,-20.57689672623531,38.8
Barretos,BARRETOS,-48.61799524794095,-20.77740069765079,-48.567869255087075,-20.72727470479692,677.4
Barretos,BARRETOS,-48.61799524794095,-20.82752669050466,-48.567869255087075,-20.77740069765079,179.6
Barretos,BARRETOS,-48.567869255087075,-20.82752669050466,-48.5177432622332,-20.77740069765079,256.6
Barretos,BARRETOS,-48.5177432622332,-20.82752669050466,-48.46761726937934,-20.77740069765079,97.1
Barretos,BARRETOS,-48.66812124079481,-20.87765268335853,-48.61799524794095,-20.82752669050466,86.5
Barretos,BARRETOS,-48.61799524794095,-20.87765268335853,-48.567869255087075,-20.82752669050466,51.1
Barretos,BARRETOS,-48.567869255087075,-20.87765268335853,-48.5177432622332,-20.82752669050466,164.0
Barretos,BARRETOS,-48.5177432622332,-20.87765268335853,-48.46761726937934,-20.82752669050466,388.4
Barretos,BARRETOS,-48.46761726937934,-20.87765268335853,-48.41749127652547,-20.82752669050466,104.3
Barretos,BARRETOS,-48.41749127652547,-20.87765268335853,-48.367365283671596,-20.82752669050466,106.7
Barretos,BARRETOS,-48.61799524794095,-20.927778676212398,-48.567869255087075,-20.87765268335853,67.3
Barretos,BARRETOS,-48.567869255087075,-20.927778676212398,-48.5177432622332,-20.87765268335853,110.4
Barretos,BARRETOS,-48.41749127652547,-20.927778676212398,-48.367365283671596,-20.87765268335853,177.0
Barretos,BARRETOS,-48.567869255087075,-20.977904669066266,-48.5177432622332,-20.927778676212398,950.4
Barretos,BARRETOS,-48.5177432622332,-20.977904669066266,-48.46761726937934,-20.927778676212398,709.6
Barretos,BARRETOS,-48.46761726937934,-20.977904669066266,-48.41749127652547,-20.927778676212398,184.1
Barretos,BARRETOS,-48.567869255087075,-21.028030661920138,-48.5177432622332,-20.977904669066266,423.0
Barretos,BARRETOS,-48.5177432622332,-21.028030661920138,-48.46761726937934,-20.977904669066266,291.2
Barretos,BARRETOS,-48.46761726937934,-21.028030661920138,-48.41749127652547,-20.977904669066266,213.1
Barretos,BARRETOS,-48.41749127652547,-21.028030661920138,-48.367365283671596,-20.977904669066266,44.5
Barretos,BARRETOS,-48.5177432622332,-21.078156654774006,-48.46761726937934,-21.028030661920138,303.6
Barretos,BARRETOS,-48.46761726937934,-21.078156654774006,-48.41749127652547,-21.028030661920138,286.9
Barretos,BARRETOS,-48.41749127652547,-21.078156654774006,-48.367365283671596,-21.028030661920138,617.8
Barretos,BARRETOS,-48.367365283671596,-21.078156654774006,-48.31723929081773,-21.028030661920138,759.4
Barretos,BARRETOS,-48.41749127652547,-21.128282647627874,-48.367365283671596,-21.078156654774006,669.1
Barretos,BARRETOS,-48.367365283671596,-21.128282647627874,-48.31723929081773,-21.078156654774006,92.5
Bauru,BAURU,-49.17099988497687,-22.0460047223191,-49.120873892123,-21.995878729465232,440.6
Bauru,BAURU,-49.120873892123,-22.0460047223191,-49.07074789926913,-21.995878729465232,197.0
Bauru,BAURU,-49.17099988497687,-22.09613071517297,-49.120873892123,-22.0460047223191,605.2
Bauru,BAURU,-49.120873892123,-22.09613071517297,-49.07074789926913,-22.0460047223191,36.4
Bauru,BAURU,-49.22112587783074,-22.14625670802684,-49.17099988497687,-22.09613071517297,68.8
Bauru,BAURU,-49.17099988497687,-22.14625670802684,-49.120873892123,-22.09613071517297,504.1
Bauru,BAURU,-49.120873892123,-22.14625670802684,-49.07074789926913,-22.09613071517297,94.5
Bauru,BAURU,-49.07074789926913,-22.14625670802684,-49.020621906415265,-22.09613071517297,200.9
Bauru,BAURU,-49.020621906415265,-22.14625670802684,-48.97049591356139,-22.09613071517297,32.3
